"initial_alias","converted_alias","name","description","namespace"
"DICER1","ENSG00000100697","DICER1","dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM6A","ENSG00000147050","KDM6A","lysine demethylase 6A [Source:HGNC Symbol;Acc:HGNC:12637]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ROS1","ENSG00000047936","ROS1","ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LATS1","ENSG00000131023","LATS1","large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKL5","ENSG00000008086","CDKL5","cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZEB2","ENSG00000169554","ZEB2","zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SETD2","ENSG00000181555","SETD2","SET domain containing 2, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:18420]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERBB4","ENSG00000178568","ERBB4","erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASXL1","ENSG00000171456","ASXL1","ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAP1","ENSG00000163930","BAP1","BRCA1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXW7","ENSG00000109670","FBXW7","F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLCN","ENSG00000154803","FLCN","folliculin [Source:HGNC Symbol;Acc:HGNC:27310]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NIPBL","ENSG00000164190","NIPBL","NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USH2A","ENSG00000042781","USH2A","usherin [Source:HGNC Symbol;Acc:HGNC:12601]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TP63","ENSG00000073282","TP63","tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTEN","ENSG00000171862","PTEN","phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATRX","ENSG00000085224","ATRX","ATRX chromatin remodeler [Source:HGNC Symbol;Acc:HGNC:886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL7A1","ENSG00000114270","COL7A1","collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]","DBASS3,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EYS","ENSG00000188107","EYS","eyes shut homolog [Source:HGNC Symbol;Acc:HGNC:21555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKHD1","ENSG00000170927","PKHD1","PKHD1 ciliary IPT domain containing fibrocystin/polyductin [Source:HGNC Symbol;Acc:HGNC:9016]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEPDC5","ENSG00000100150","DEPDC5","DEP domain containing 5, GATOR1 subcomplex subunit [Source:HGNC Symbol;Acc:HGNC:18423]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYNGAP1","ENSG00000197283","SYNGAP1","synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSP","ENSG00000096696","DSP","desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MUTYH","ENSG00000132781","MUTYH","mutY DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASXL2","ENSG00000143970","ASXL2","ASXL transcriptional regulator 2 [Source:HGNC Symbol;Acc:HGNC:23805]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATM","ENSG00000149311","ATM","ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIK3R1","ENSG00000145675","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF43","ENSG00000108375","RNF43","ring finger protein 43 [Source:HGNC Symbol;Acc:HGNC:18505]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAG2","ENSG00000101972","STAG2","STAG2 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDR","ENSG00000128052","KDR","kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFTR","ENSG00000001626","CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EXT1","ENSG00000182197","EXT1","exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DYRK1A","ENSG00000157540","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP290","ENSG00000198707","CEP290","centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD11","ENSG00000167522","ANKRD11","ankyrin repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21316]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VHL","ENSG00000134086","VHL","von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOTCH2","ENSG00000134250","NOTCH2","notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
