gene,PC1,PC2
DICER1,-8.543747403825444,-1.1706370401362234
KDM6A,4.618831364232117,10.68370983744141
ROS1,2.4078022839525457,-1.44389525348907
LATS1,-0.1336111436025952,-4.514050171021934
CDKL5,13.751192126140111,0.7286900602038353
ZEB2,3.8862954535407006,-5.915284683466147
SETD2,4.179732648852185,2.110336524769877
ERBB4,-1.7311945841237626,3.6356293641234463
ASXL1,-0.0411496525342375,6.293834968153904
BAP1,3.2062128700618024,-5.179787973683941
FBXW7,3.876373616257341,0.4708477814046376
FLCN,3.2973131300866307,4.547444562992228
USH2A,-1.0788732303691166,2.1363663445854355
TP63,-0.0677304080312411,-10.178130737819728
COL7A1,-5.001048005613379,3.2536580815832217
EYS,-3.4367629679653544,-2.101291899410473
PKHD1,9.542327537585884,-2.655158668627938
DEPDC5,-6.877239603848185,-4.099054505174656
SYNGAP1,-7.290727205256042,2.830321452871104
DSP,1.2631309904348536,1.1554401480121372
MUTYH,5.132918512973641,-2.864406325619652
ASXL2,-2.678791052045354,-3.128115696408761
RNF43,-8.232865934789293,-3.137601509348493
STAG2,7.303763239674193,-3.282408785688175
KDR,4.94238989929042,-6.007929787355785
CFTR,-0.808021035043759,-7.399449936571061
EXT1,6.319540519503035,1.7779605235464724
DYRK1A,-2.2931331105549253,1.341125763355137
CEP290,2.919452002487918,-4.60849334726551
ANKRD11,-5.262112005806098,-4.776104002479768
VHL,12.84449749313234,-8.637447891334874
NOTCH2,3.5472717828355345,6.263874426328757
CAPN3,-1.2381883526678965,3.0424224873875767
NOTCH1,7.243703519018209,2.2147704489990563
LAMA2,-3.9254418194804734,-1.0012917835516717
BMPR1A,4.06734375676597,0.0901194504784757
MYBPC3,3.6362463965319103,1.1820965935297916
EPHA5,17.101951495903375,-6.278417975317049
FBN1,0.6437001851467768,4.73265167267406
BCOR,1.1923175064853937,0.725833343426213
CHD2,7.270204073513671,0.9465942952616352
VPS13B,3.7767932239042272,-8.271558555418295
DYSF,-5.410025432957698,-2.12229836558396
MTOR,-0.7588174126728471,-0.4502214580813797
DMD,6.702423341910464,2.672698388632254
PHEX,-7.136431270314323,0.2561127163899575
ZFHX3,-4.672732928932312,7.686657205673885
AR,-1.845285629204856,-2.615005202482752
KMT2D,-6.217326795084445,-1.0265477566531338
ENG,-3.193878320108602,1.7314999258957702
PALB2,12.678356995228434,0.2754474933651712
CASP8,-8.840972210716732,-3.302290847776596
SACS,-12.558651614468603,2.815962617261446
SCN1A,-0.0303289834075494,-3.6739519180043936
MMACHC,-9.53900402761073,3.785841443839361
PMS2,8.365239256124251,0.6480159561282107
TP53,-1.7057297218558949,5.092123319811849
STK11,-6.225601649762705,-0.1047146595694508
RBM10,6.814537310896176,1.488476216438524
NSD1,14.99079721887051,-3.924299811405555
ATP7A,-7.527265244294166,-1.8479202105106096
EPHA3,-3.559119015860835,-1.2797621631760858
BRCA1,-10.378456984610384,-8.389422570242724
ARID2,2.5682647736737905,9.587739428066287
NEB,5.763664854538599,-4.093976948018638
PKP2,-9.320484881071856,4.647910064251774
TSC2,1.2917405760676774,0.0812846366933072
MAP3K13,-10.931796087180214,-3.400935176405753
ITGA2B,8.896506106322038,7.656630992304823
TSC1,-3.930657920300406,1.848060297577595
EP300,1.5061483932142878,7.463728134933608
NF2,-15.80231878098604,-3.389112139260261
PTPRT,2.095364132096615,4.512517196887907
CHM,9.81440831604148,-3.1523290425305945
MSH2,-7.522322573138823,3.820194183038115
CTNNB1,5.371587681383938,5.016343622379872
CREBBP,-8.59307805050639,-4.17962952322396
RUNX1,1.6745778183607076,-9.796319537287514
JAK2,-3.0786109405473208,-3.531175638275177
ALK,10.679884280682788,-1.2331578623878872
GAA,-7.154089268703266,6.873001890202787
GRIN2A,5.127582540307792,8.792931561481282
CDH1,-8.373670236867714,3.6179379249776846
ABCA4,6.366214317593708,3.1913044935623534
FAT1,-7.922859798053127,-4.369189714262735
LDLR,5.157105573082345,3.256799288121863
PBRM1,-0.1914099989118105,-3.238767437574197
SPEN,3.6556707394050414,-1.0639316682305056
MYO7A,0.7331802807764517,3.837342966143129
PTPRD,-0.834929459556034,1.577516142377399
FH,1.072439207709424,7.827840755951805
FLG,6.165427021413323,1.0754721292379994
PAH,-6.659948214378063,-0.4966504004312947
COL1A1,6.3944743482149695,-2.9259820947790165
DNAH5,-6.488708104223316,-1.832020791077084
B2M,-4.867987286241441,-2.841907898400624
RAD50,3.29028114518258,2.0333680079358376
CHEK2,-9.586262024033475,0.0478468234251707
SDHA,-6.3364339058951575,1.5081524511271358
CDKN1B,-9.311349569393904,0.0415509595785037
