gene,n_observations,NMDetective-AI,NMDetective-A,NMDetective-B,Global logistic,Clustered logistic,NMDetective-AI-SP
DICER1,77,0.8424521973621164,0.8887642732164325,0.8596374444130958,0.8303180551134498,0.910205412200421,0.8511011578340726
KDM6A,83,0.5955941924169732,0.6638152431358723,0.6373676708250955,0.8728309413320744,0.8786614605110902,0.8708161475997709
ROS1,77,0.6921366348383279,0.617161294583643,0.60601810952746,0.6842903702605067,0.7246429381322896,0.7133294493716967
LATS1,82,0.693586534638381,0.6635785062598812,0.61061115889342,0.6200817275047984,0.7029638955410297,0.7162469640158827
CDKL5,62,0.5553879893972565,0.4926015313725654,0.34202850304096655,0.6461124674032462,0.6763859337285625,0.7038858241038153
ZEB2,80,0.4909860013741675,-0.46326481792185026,-0.34617642447366775,0.5971816749630829,0.6134897125849499,0.6045320037668296
SETD2,76,-0.733151157768512,-0.4737024982351335,0.5657852380419063,0.7749300582455338,0.7691275513012753,0.759895912145389
ERBB4,83,0.8301719951744566,0.5914415908231841,0.720669819404282,0.8518761011927203,0.8505379811282707,0.846732349794797
ASXL1,80,0.925152662837102,0.5019461675608373,0.44810593973709323,0.9344483744087713,0.9323652652809059,0.9320282439375108
BAP1,83,0.60955608635599,0.5079854987474829,0.5210253415372785,0.5905667730300433,0.6319848942428437,0.604438536828755
FBXW7,73,0.6411767737817783,0.6046865274083111,0.536895201289376,0.7282354721905485,0.7241067909442329,0.7210896844747972
FLCN,83,0.8297632033481764,0.6898581105437173,0.5850384992908964,0.8733809244918957,0.8844775776471301,0.9047431429753896
USH2A,83,0.8290030656371523,0.773975938438028,0.81144624961618,0.850851645960433,0.8946998183211182,0.8404677135093706
TP63,68,0.4653802137130223,0.4425071591574537,0.3986381987120325,0.4643797702246364,0.4544514770055808,0.4818289076399355
COL7A1,83,0.7621960886072694,0.8319445544202112,0.7285983823651903,0.8607606359688901,0.8529672793750375,0.8133139265125614
EYS,77,0.725605624917508,0.34845839619733804,0.6342636879207116,0.8438773127809693,0.8458148984595991,0.8270280698737805
PKHD1,83,0.5249757311771592,0.46854807317456676,0.35041328786925763,0.6031877794141134,0.6255800083069364,0.6084153877757111
DEPDC5,81,0.8123271342977753,0.7775118248096398,0.6590287929310511,0.851345580090506,0.8541909633431869,0.8681164504457576
SYNGAP1,83,0.7886256051514707,0.876119824194776,0.7556557130046017,0.9068980016999553,0.9072279651336277,0.8903500177792926
