new_name,DMS_fitness,mean_delta_CT,WT_factor
1',0.0140975074488894,0.237676285777351,non-WT
2',1.29017194203572,2.38924942621225,non-WT
3',1.21794342636478,2.76886843520435,non-WT
4',0.0922113287596497,1.2890272840212,WT
5',1.39482902274358,1.49154665334855,non-WT
6',0.380237118423373,2.2214110525375,non-WT
7',1.55669934469159,3.34022508337375,non-WT
8',0.865535731534787,1.7730729765057,non-WT
9',2.10818578635549,2.40121020518765,non-WT
10',0.933131939840736,2.1297791336857,non-WT
11',-0.136916613195394,0.8144872312319,non-WT
12',0.71824403010401,2.1684901097493,non-WT
13',0.676234100832334,2.1628528355799,non-WT
14',0.201463990470346,1.60253487131375,non-WT
15',0.887974446704292,2.1704322744668,non-WT
16',0.945042787975297,1.9845175967383,non-WT
17',1.36996473578308,2.1088205584261,non-WT
18',1.25136189105503,1.3871211604262,non-WT
19',0.840387149578816,2.6194269358024,non-WT
20',0.943734834547593,2.29980277452005,non-WT
22',-1.00734028441252,-3.78737092,non-WT
23',-0.909078417703392,-4.0639594688735,non-WT
