variant_type,category,count,percentage,total
All_Rare,NMD_triggering,53540,54.04750608211102,99061
All_Rare,Last_exon,23866,24.092226002160285,99061
All_Rare,Last_EJC_55nt,3386,3.418095920695329,99061
All_Rare,Start_proximal,8132,8.209083292112942,99061
All_Rare,Long_exon,10137,10.233088702920423,99061
Common,NMD_triggering,1132,42.733106832767085,2649
Common,Last_exon,958,36.16459041147603,2649
Common,Last_EJC_55nt,97,3.661759154397886,2649
Common,Start_proximal,249,9.39977349943375,2649
Common,Long_exon,213,8.040770101925254,2649
Rare_LOEUF_0-1,NMD_triggering,6894,61.862885857860725,11144
Rare_LOEUF_0-1,Last_exon,1831,16.430366116295765,11144
Rare_LOEUF_0-1,Last_EJC_55nt,258,2.3151471643933954,11144
Rare_LOEUF_0-1,Start_proximal,626,5.617372577171572,11144
Rare_LOEUF_0-1,Long_exon,1535,13.774228284278536,11144
Rare_LOEUF_2-9,NMD_triggering,46646,53.056860447922475,87917
Rare_LOEUF_2-9,Last_exon,22035,25.06341208184993,87917
Rare_LOEUF_2-9,Last_EJC_55nt,3128,3.557901202270323,87917
Rare_LOEUF_2-9,Start_proximal,7506,8.537597961713889,87917
Rare_LOEUF_2-9,Long_exon,8602,9.784228306243389,87917
