gene_symbol,n_variants,log_odds_t1,ci_lower_t1,ci_upper_t1,p_value_t1,p_value_fdr_t1,log_odds_t2,ci_lower_t2,ci_upper_t2,p_value_t2,p_value_fdr_t2,p_value_combined,p_value_fdr_combined
CTC1,14,-7.360565472208911,-8.049233607040916,-6.671897337376906,1.943515493628839e-97,1.26151823859181e-95,-3.9205579078779835,-5.601819140906868,-2.239296674849099,4.86633972809394e-06,0.0002880873119031612,2.2312802999734018e-100,1.4483037583463716e-98
C5,19,-6.60780475438868,-6.996963483937249,-6.218646024840111,7.610923454769098e-243,2.717099673352568e-240,-1.6501181247518353,-3.1161560401161745,-0.1840802093874958,0.027379584464675588,0.14218170178147324,1.1713188354817302e-241,4.181608242669777e-239
HFM1,21,-6.281606043528176,-6.806422563308364,-5.756789523747988,1.0675039280145985e-121,7.621978046024233e-120,-3.2206520242694565,-6.109333951993799,-0.3319700965451138,0.028873824605969555,0.14485850988757606,8.725731432496033e-121,6.230172242802167e-119
WRN,14,-5.702699649446092,-6.142252622642823,-5.263146676249362,1.2270423607646678e-142,1.2515832079799612e-140,-3.5742165457937958,-5.149718645573599,-1.9987144460139927,8.731531318853416e-06,0.00036921903862580156,3.6364359673142164e-145,4.327358801103918e-143
CFHR5,19,-5.640581767632462,-6.0086137903330386,-5.272549744931885,3.033752362506629e-198,5.415247967074332e-196,-5.146439296184982,-6.619778357803362,-3.6731002345666024,7.581522034655521e-12,1.1220652611290172e-09,1.1072590804074364e-206,1.976457458527274e-204
GPNMB,11,-5.637946125341571,-5.944457935990766,-5.331434314692377,1.3125153925060128e-284,9.371359902492931e-282,-5.151009418920898,-6.935529457895337,-3.36648937994646,1.536585891498514e-08,1.1370735597089005e-06,1.356602299080658e-289,9.686140415435899e-287
CNGB1,20,-4.644239678249081,-5.093708570543658,-4.194770785954503,3.426733834328671e-91,2.038906631425559e-89,-2.219733566230142,-3.7181072077250032,-0.7213599247352811,0.0036896193737528567,0.043685093385233825,2.717128717026003e-91,1.4923306953512046e-89
AGBL1,11,-4.255160832678416,-4.681027116584936,-3.8292945487718963,2.1371738377028958e-85,1.1738016308614367e-83,-5.254365479018854,-6.826155005341429,-3.682575952696279,5.677102809979557e-11,5.601408105846496e-09,2.663817623038566e-93,1.5849714857079467e-91
DNAH7,27,-4.170608757758791,-4.426746418094647,-3.9144710974229353,1.7362297374175444e-223,4.1322267750537557e-221,-5.186693422034658,-8.01986463021926,-2.3535222138500567,0.00033308270165538105,0.005799557628823106,3.0183742921855735e-224,7.183730815401665e-222
MTO1,11,-4.098791811085034,-4.560465195474251,-3.637118426695817,8.136453549306746e-68,3.6308923963781353e-66,-3.3930158559208525,-6.311788584768359,-0.47424312707334604,0.02270159210737272,0.12443835673670973,2.9417863985556978e-67,1.3127721803554802e-65
ABCG8,11,2.391919379847958,1.854129419754615,2.9297093399413012,2.8491720385632497e-18,3.5074290267830345e-17,1.5459245067117744,-0.022540919289559147,3.1143899327131077,0.053384601838153016,0.2004159804916878,6.742637755255646e-18,7.892202225004149e-17
MASP1,16,3.919802218329523,3.1451654393136472,4.694438997345399,3.484462310519189e-23,5.528680199357113e-22,1.9459101490553132,-0.04185613172310654,3.9336764298337332,0.05502316220738655,0.2004159804916878,1.066210978270688e-22,1.6549448662723288e-21
PDE11A,20,4.677426224887705,4.202024712796234,5.152827736979177,7.335801015885805e-83,3.741258518101761e-81,2.6014117299988913,1.2842591646081547,3.918564295389628,0.00010839799008873661,0.0032085805066266035,1.5844201808642378e-84,8.080542922407613e-83
FAN1,15,4.942339596772059,3.6704433085403827,6.214235885003735,2.6158525345562838e-14,2.523944202261063e-13,3.4633291627691616,0.316416372878745,6.610241952659578,0.03100295242112566,0.1529478986108866,2.899154701548675e-14,2.7972925093321e-13
MLH3,18,5.949217929684774,5.488612358827151,6.409823500542396,2.1812210906785345e-141,1.946739823430592e-139,1.2797511132130148,-0.11181179480157222,2.6713140212276016,0.07146971742934229,0.22749839377770414,5.105798627643271e-140,4.556925275171619e-138
CYP21A2,10,6.051986928737515,4.809465374076195,7.294508483398834,1.342099148268759e-21,1.9556301874773346e-20,2.9520653269015042,-0.19837026933862711,6.102500923141635,0.06627592167880413,0.226951588027313,4.605236455330116e-21,6.447331037462162e-20
USP45,14,6.332545273020789,5.278830077760533,7.386260468281044,5.016871334432855e-32,1.2793021902803781e-30,5.939931989649545,2.85905653427468,9.02080744502441,0.00015757758584212018,0.003886913784105631,6.468686764125223e-34,1.649515124851932e-32
VWA3B,21,6.3953940215254095,4.79404130731331,7.996746735737509,4.972872733454319e-15,5.072330188123405e-14,7.288482121283925,4.036003850945703,10.540960391622146,1.1226855954772971e-05,0.0003845515914452879,2.5308720442156017e-18,3.062784134864304e-17
KIZ,10,6.608996853254395,5.3420164222900235,7.875977284218766,1.550852575687802e-24,2.6364493786692633e-23,4.336356597840693,1.113180555280735,7.559532640400651,0.008367439095213893,0.07076462777666606,7.864720944773522e-25,1.4398489114277678e-23
TEKT3,12,6.833194675914103,5.231695552697779,8.434693799130427,6.131233668186677e-17,6.948731490611568e-16,6.1479750776585735,2.85576090735513,9.440189247962017,0.0002521238174110698,0.004682770178736543,7.206063077896007e-19,8.870912133823706e-18
