gene,n_ptc_trig,n_ptc_evad,n_syn_trig,n_syn_evad,log_or,se,ci_lower,ci_upper,z,p_value,category,use_ai_filter
KMT2C,196,147,684,801,0.4446305828505455,0.1207364922352327,0.20799140644978956,0.6812697592513015,3.6826528137347667,0.00023081941937579508,Tumor Suppressors,False
FAS,0,10,17,18,-2.988952586568612,1.4854073537030192,-5.900297502197479,-0.07760767093974508,-2.0122107104945703,0.04419772993983745,Tumor Suppressors,False
KMT2A,50,80,98,318,0.7072820786909713,0.2133455931953086,0.2891323997678328,1.1254317576141097,3.3151942259406564,0.0009157947035087603,Tumor Suppressors,False
PIK3R1,124,5,61,16,1.8038808297603999,0.5164460606296892,0.7916651509686199,2.81609650855218,3.492873636330917,0.0004778525743993183,Tumor Suppressors,False
ETNK1,11,3,25,16,0.7542659956159908,0.6873809382969436,-0.5929758871053677,2.1015078783373493,1.0973042073071764,0.2725084323199718,Tumor Suppressors,False
SDHA,16,1,202,244,2.5863706951667034,0.8580798205457159,0.9045651510365076,4.268176239296899,3.0141376515786615,0.00257710849794926,Tumor Suppressors,False
KMT2D,157,358,256,643,0.0972901606513698,0.12079422030764045,-0.13946216069220227,0.3340424819949419,0.8054206600579882,0.42057697354030443,Tumor Suppressors,False
CSMD3,324,10,914,31,0.06252035698133393,0.3621591981368848,-0.6472986280368657,0.7723393419995336,0.1726322493062932,0.8629405011804594,Tumor Suppressors,False
NF1,289,25,185,40,0.9077239369136731,0.2697259930229603,0.3790707048943691,1.4363771689329772,3.365355806981508,0.0007644501122637423,Tumor Suppressors,False
ATR,57,10,177,33,0.0329845205553774,0.384855750472147,-0.7213188896131646,0.7872879307239193,0.08570619125454532,0.9316999803320837,Tumor Suppressors,False
BAP1,52,28,58,38,0.19254056937890096,0.3117745682603181,-0.41852635570684715,0.8036074944646491,0.6175634223575864,0.5368631622055329,Tumor Suppressors,False
ZFP36L1,0,21,0,71,1.2016445145663448,2.015067651939505,-2.7478155096467782,5.151104538779468,0.5963296137525509,0.5509550514448213,Tumor Suppressors,False
SMAD4,120,21,40,9,0.2735866422910942,0.4298428771227074,-0.5688899158804883,1.1160632004626767,0.6364805766293838,0.5244632369008355,Tumor Suppressors,False
ASXL2,45,25,33,115,1.8167589649233518,0.31575696853624174,1.197886678724771,2.4356312511219325,5.753662297130994,8.733052686122195e-09,Tumor Suppressors,False
CIC,31,28,152,363,0.9686981594830902,0.2759386883536296,0.42786826836875413,1.5095280505974262,3.510555787819263,0.0004471709656160766,Tumor Suppressors,False
ZNF292,15,113,13,213,0.769984334228039,0.3899802771204864,0.0056370363909360455,1.534331632065142,1.9744186549981564,0.048334158561691876,Tumor Suppressors,False
KEAP1,6,29,18,93,0.10760261776617948,0.5024875124326266,-0.8772548092828912,1.0924600448152502,0.21413988428340658,0.8304379739455803,Tumor Suppressors,False
ATM,199,26,178,10,-0.8145438407184744,0.3789310181541996,-1.557234988925799,-0.07185269251114978,-2.1495834378673364,0.031588179640172104,Tumor Suppressors,False
EED,16,6,19,13,0.5638334238796262,0.5829308190586082,-0.5786899869536809,1.7063568347129334,0.9672390023745477,0.33342456882731997,Tumor Suppressors,False
SMAD2,38,25,30,11,-0.5633998591148035,0.4300385090123533,-1.4062598487443194,0.2794601305147124,-1.310114902055479,0.19015696789484227,Tumor Suppressors,False
CNTNAP2,67,5,443,67,0.6248093017689089,0.4622797885259575,-0.2812424345227603,1.530861038060578,1.3515825638001588,0.1765088912742162,Tumor Suppressors,False
FAT1,83,209,161,457,0.12139463454748209,0.1585151740624605,-0.18928939761803817,0.4320786667130023,0.7658234315135558,0.44378137011520347,Tumor Suppressors,False
CTCF,43,37,48,41,-0.007450365588511639,0.30719719181169725,-0.609545797691281,0.5946450665142577,-0.024252713849931586,0.9806510309051661,Tumor Suppressors,False
ARID1B,57,59,91,329,1.2470460169128068,0.2194581740360591,0.8169158996892077,1.6771761341364058,5.682385823131405,1.328285883452721e-08,Tumor Suppressors,False
RASA1,94,9,66,22,1.213621397441768,0.4187209176840277,0.39294347920751316,2.034299315676023,2.8984016469833556,0.003750699257824211,Tumor Suppressors,False
STAG1,41,0,88,5,1.6405861480211392,1.4890312294873465,-1.277861433629456,4.559033729671734,1.1017808864801117,0.2705569418363668,Tumor Suppressors,False
ARHGAP35,3,104,14,157,-1.0111472940703385,0.6087679256459738,-2.2043105032796046,0.18201591513892756,-1.6609733388916528,0.09671880141910998,Tumor Suppressors,False
SOX9,10,69,13,103,0.14693043185377117,0.4397300242985401,-0.7149245786922902,1.0087854423998326,0.33413782033227196,0.7382755620351982,Tumor Suppressors,False
ZC3H13,25,119,27,74,-0.5480247984941966,0.31204221231575796,-1.159616296289283,0.06356669930088987,-1.7562521250799428,0.07904536793002061,Tumor Suppressors,False
FUBP1,28,0,40,15,3.0825893176472574,1.4574962114376817,0.22594923562582547,5.939229399668689,2.114989592052919,0.03443083439215423,Tumor Suppressors,False
CDKN2A,241,33,51,23,1.1907426477420295,0.3097776625834344,0.583589585863497,1.797895709620562,3.8438622004300234,0.00012111302913798711,Tumor Suppressors,False
NOTCH1,95,35,328,176,0.3683775894540007,0.21760073686234044,-0.05811201780556391,0.7948671967135652,1.692905983526358,0.0904733642195162,Tumor Suppressors,False
DDX3X,24,6,49,3,-1.3223387604301868,0.7075159265296237,-2.7090444949167365,0.0643669740563626,-1.868987977297244,0.06162448707517873,Tumor Suppressors,False
