gene_symbol,n_ptc_triggering,n_ptc_evading,n_syn_triggering,n_syn_evading,n_variants,log_odds,se_log_or,ci_lower,ci_upper,z_score,p_value,p_value_fdr
ACVR1B,48.0,6.0,52,16,54.0,0.852308832350803,0.5041015673461693,-0.1357120841978814,1.8403297488994874,1.6907482292462659,0.09088489869817909,0.23370402522388908
ACVR2A,25.0,9.0,40,13,34.0,-0.11122563511022437,0.4931980091890194,-1.0778759703675571,0.8554247001471083,-0.22551922967636487,0.8215753675219153,0.8873013969236685
AJUBA,6.0,19.0,9,46,25.0,0.48954822531870573,0.576104798944626,-0.63959643193345,1.6186928825708615,0.8497555066639189,0.3954610312739245,0.5863080634398203
APC,545.0,1307.0,41,176,1852.0,0.573458058470746,0.17988915155088867,0.22088180022153664,0.9260343167199554,3.187841254054284,0.0014333920675368547,0.010096065866998715
ARHGAP35,3.0,63.0,14,157,66.0,-0.5130001285641189,0.6138216685658257,-1.7160684918834188,0.6900682347551811,-0.8357478317158907,0.4032967803709667,0.5885953010819513
ARHGAP5,3.0,88.0,16,99,91.0,-1.4334423202605038,0.6063580069603075,-2.621882175640194,-0.24500246488081356,-2.364019776775765,0.01807784751522219,0.08135031381849984
ARID1A,208.0,284.0,85,158,492.0,0.30644400504709135,0.16222255162539387,-0.011506353618870258,0.6243943637130529,1.8890345514644307,0.058887199129050626,0.17666159738715187
ARID1B,57.0,42.0,91,329,99.0,1.5835182535340202,0.23427458083810854,1.12434851259811,2.0426879944699303,6.759240579447599,1.3871689364858163e-11,5.618034192767556e-10
ARID2,75.0,68.0,62,97,143.0,0.5419847322482452,0.23259403155493574,0.08610880738159826,0.997860657114892,2.330174719553091,0.01979691855030463,0.08667840013917162
ASXL1,6.0,53.0,49,151,59.0,-0.98926652162559,0.44647555688887086,-1.864342533105241,-0.11419051014593917,-2.2157238092024407,0.026710423260264467,0.10429178003757614
ASXL2,42.0,24.0,33,115,66.0,1.7885560495105175,0.32070935942373663,1.1599772555350825,2.4171348434859525,5.576875126825941,2.448775181422809e-08,6.611692989841585e-07
ATM,199.0,26.0,178,10,225.0,-0.8145438407184744,0.3789310181541996,-1.557234988925799,-0.07185269251114978,-2.1495834378673364,0.031588179640172104,0.11630193412972457
ATR,57.0,8.0,177,33,65.0,0.24429361422258422,0.4129441999313147,-0.5650621452675001,1.0536493737126684,0.5915898909906417,0.5541252448361859,0.7013147629957978
ATRX,69.0,67.0,117,89,136.0,-0.2430005536111417,0.221104334373757,-0.676357085809407,0.19035597858712355,-1.099031162366863,0.27175447361650995,0.46469858985089885
AXIN1,15.0,8.0,52,89,23.0,1.1341993161121617,0.46085137654231695,0.2309472158635134,2.03745141636081,2.461095645676162,0.013851343453235805,0.07012242623200626
AXIN2,6.0,10.0,46,71,16.0,-0.04932794315523492,0.5334563144385387,-1.0948831067802451,0.9962272204697753,-0.09246857112780162,0.9263257608185615,0.9497770459025758
BAP1,34.0,28.0,58,38,62.0,-0.22731327618136304,0.32732441035258203,-0.8688573317332335,0.4142307793705074,-0.69445867461125,0.4873946083794033,0.6419343622557995
BARD1,5.0,3.0,36,40,8.0,0.555974837267105,0.7208474775090299,-0.8568602569971402,1.96880993153135,0.7712794379032011,0.44054131747250735,0.6152387364702259
BAX,3.0,3.0,10,11,6.0,0.09097177820572644,0.8681147322824312,-1.6105018315164696,1.7924453879279225,0.10479234463231044,0.9165405847017621,0.9457297752973598
BCOR,31.0,33.0,62,187,64.0,1.0370543956686764,0.2879758867475223,0.4726320292275473,1.6014767621098054,3.6011848331520038,0.0003167702652977223,0.0028509323876795005
BLM,11.0,2.0,67,38,13.0,0.9645869469103039,0.7264608472092431,-0.4592501497982675,2.3884240436188753,1.3277893097967235,0.1842477194994282,0.37673496635110276
BRCA1,20.0,37.0,59,56,57.0,-0.6556517212311916,0.3315916045452118,-1.3055593237156549,-0.005744118746728422,-1.9772868560120465,0.048009214556802245,0.14956716842696086
BRCA2,37.0,72.0,72,191,109.0,0.3120556178758077,0.24387456956005252,-0.1659297552071034,0.7900409909587188,1.2795742435906834,0.2006949130535658,0.38705447517473407
BRIP1,26.0,9.0,61,18,35.0,-0.17541350834251157,0.4618584454213441,-1.0806394273240043,0.7298124106389811,-0.3797992871657579,0.7040944115267763,0.8074766681255613
BUB1B,24.0,2.0,63,12,26.0,0.6570711240861355,0.73250553446829,-0.7786133419479762,2.0927555901202473,0.8970186478701343,0.36970896647592966,0.5727181155992969
CASP8,34.0,40.0,20,20,74.0,-0.16034265007517945,0.3888930969827367,-0.9225591139975858,0.6018738138472269,-0.41230521014441457,0.6801157302924359,0.8074766681255613
