gene_symbol,ac_total,n_variants,ac_nmd_triggering,n_triggering,ac_nmd_evading,n_evading,ac_synonymous_nmd_triggering,ac_synonymous_nmd_evading,n_synonymous_variants_nmd_triggering,n_synonymous_variants_nmd_evading,log_odds_t1,se_log_or_t1,ci_lower_t1,ci_upper_t1,z_score_t1,p_value_t1,n_rare_t2,n_common_t2,af_split_t2,ac_rare_triggering_t2,ac_rare_evading_t2,ac_common_triggering_t2,ac_common_evading_t2,n_rare_triggering_t2,n_rare_evading_t2,n_common_triggering_t2,n_common_evading_t2,log_odds_t2,se_log_or_t2,ci_lower_t2,ci_upper_t2,z_score_t2,p_value_t2,p_value_combined,p_value_fdr_t1,p_value_fdr_t2,p_value_fdr_combined
A2ML1,79,28,79.0,28.0,0.0,0.0,860372.0,476.0,803.0,37.0,-2.429748788672236,1.4193936784860428,-5.211709278388705,0.35221170104423294,-1.7118216217954842,0.08692954618558414,14,14,6.57402e-06,14,0,65,0,14,0,14,0,1.5079014932146777,2.0209484636709316,-2.453084710191902,5.468887696621257,0.7461355498772418,0.455585536266471,0.16747788750011902,0.13581552730089075,,0.24354218263764763
AARS1,20,14,20.0,14.0,0.0,0.0,90292.0,133543.0,510.0,65.0,4.104944933670884,1.4313626553458032,1.2995256803774917,6.9103641869642765,2.8678580640202394,0.004132608834822638,7,7,6.57263e-06,7,0,13,0,7,0,7,0,0.5877866649021191,2.05119657941588,-3.4324847559647584,4.608058085768997,0.28655793930267925,0.7744508238409467,0.021585619872935342,0.009968522662376229,0.8427847200622066,0.04441536769243756
AARS2,28,14,26.0,13.0,2.0,1.0,265192.0,135282.0,537.0,79.0,1.6877632083580085,0.6616245248185716,0.391002968425181,2.984523448290836,2.550938100157066,0.010743340484393894,7,7,6.57056e-06,7,0,19,2,7,0,6,1,-0.6539264674066639,1.6076739049370006,-3.8049094199680558,2.497056485154728,-0.4067531763739669,0.6841892800843974,0.04346330434755925,0.022829598529337025,,0.07957128026707003
AASS,20,12,20.0,12.0,0.0,0.0,5041.0,403.0,401.0,70.0,1.1882896185810417,1.432290876957413,-1.618948915640778,3.995528152802861,0.8296426638598031,0.40674084752546047,6,6,6.5722e-06,6,0,14,0,6,0,6,0,0.8023464725249373,2.0549480944995993,-3.225277782793489,4.829970727843364,0.39044610161811255,0.6962067033965496,0.6404550107654909,0.49139249599522633,,0.72700298519326
ABCA1,18,16,18.0,16.0,0.0,0.0,416004.0,1178.0,1067.0,51.0,-2.2555357214721754,1.4334939812043617,-5.065132296687661,0.5540608537433105,-1.5734532206247345,0.11561391200273675,8,8,6.57125e-06,8,0,10,0,8,0,8,0,0.21130909366720696,2.0525314014800418,-3.811578530371197,4.234196717705611,0.10295048032631118,0.9180022730066039,0.3441977969774074,0.1705544073759381,,0.43573976425863276
ABCA12,13,11,12.0,10.0,1.0,1.0,448459.0,340.0,1219.0,46.0,-5.0628949936106045,0.8657977558788407,-6.759827413028734,-3.3659625741924746,-5.847664722197667,4.9852208210279715e-09,6,5,6.57921e-06,6,0,6,1,6,0,4,1,-1.0986122886681098,1.7246329970051524,-4.478830849347584,2.2816062720113637,-0.6370122168460561,0.5241168859292833,5.4249916356798096e-08,3.0164810730626875e-08,0.6956887813231742,3.123745183770471e-07
ABCA4,54,31,54.0,31.0,0.0,0.0,394169.0,175841.0,1428.0,28.0,3.884149883497507,1.4206888638166062,1.0996508771798292,6.668648889815184,2.733990518559385,0.006257184618127905,16,15,6.57298e-06,16,0,38,0,16,0,15,0,0.8472978603872037,2.0215291456172695,-3.114826458720671,4.809422179495078,0.41913709838127666,0.6751159393641832,0.027318269965521197,0.014458348923441179,,0.05373345662639706
ABCA5,95,25,94.0,24.0,1.0,1.0,325493.0,196.0,745.0,50.0,-3.26930061345249,0.8260392291113187,-4.888307752327905,-1.6502934745770752,-3.957803090017548,7.564227378085438e-05,13,12,6.5877e-06,12,1,82,0,12,1,12,0,2.9856819377004893,1.6609599269060884,-0.2697396987997247,6.241103574200704,1.797564100936495,0.07224611153751416,7.168351067195683e-05,0.00027415524608898496,0.22749839377770414,0.0002679687257579957
ABCA7,315,52,315.0,52.0,0.0,0.0,1158167.0,356.0,1673.0,71.0,-1.6387094702005767,1.4163246395615277,-4.414654754157844,1.137235813756691,-1.157015435887563,0.24726605391430445,26,26,6.59578e-06,26,0,289,0,26,0,26,0,2.391010564020873,2.010271146012425,-1.5490484813235406,6.3310696093652865,1.1893970466440227,0.23428346246102838,0.22294574662841318,0.3233479166571674,,0.3084946959160601
ABCB11,36,15,36.0,15.0,0.0,0.0,220736.0,2855.0,657.0,74.0,-0.057263282189957465,1.4239915701745336,-2.8482354740206843,2.7337089096407694,-0.04021321712103879,0.9679231404152242,8,7,6.58276e-06,8,0,28,0,8,0,7,0,1.209837923778334,2.0378259930920932,-2.7842276294417374,5.203903476998406,0.5936904955965292,0.5527191411452205,0.8696298887986199,0.9720072042988328,,0.8985756014503831
