gene_name,transcript_id,penultimate_junction,pe_start,pe_end,num_exons,cds_length,a,d,c,c_absolute,b,r2,n_points,x_min,x_max
SAMD11,ENST00000420190.6,1562,1362,1561,7,1074,0.0012990747758685622,-0.4463797054815902,0.33681060572983007,-132.31150006549365,4.65655953200072,0.982526749162417,67,-199.0,-1.0
NOC2L,ENST00000327044.6,2194,1994,2193,19,2250,0.756835135142968,-0.563482544020322,0.7574229524592972,-49.03025541305914,17.604708178149295,0.9965023893399892,67,-199.0,-1.0
KLHL17,ENST00000338591.7,1808,1608,1807,12,1929,0.34148694390225826,-1.031316999999994,0.7785232033985009,-45.85240572709682,2.6900057519912566,0.9834573497146468,67,-200.0,-2.0
PLEKHN1,ENST00000379410.7,1738,1538,1737,16,1836,0.6067089986384323,-0.6232161364136138,0.672356179070541,-65.87347654403288,8.84718174562959,0.9963767558419797,67,-199.0,-1.0
PERM1,ENST00000341290.6,1970,1770,1969,5,2031,0.42528343095451987,-0.3426992701380942,0.7840768044492333,-43.7527927190518,12.742646488577526,0.993380338483744,67,-199.0,-1.0
HES4,ENST00000428771.6,570,370,569,3,744,-0.03761229903761913,-0.5647710356128478,0.7771179052984172,-45.13065475091341,11.49389200369229,0.9652961987596378,67,-199.0,-1.0
AGRN,ENST00000379370.6,6031,5831,6030,36,6138,0.5673948277521412,-0.19561856792363436,0.7568129491450745,-49.15103606927525,15.50204370453229,0.9937735103863834,67,-199.0,-1.0
C1orf159,ENST00000379339.5,1260,1060,1259,12,1143,0.0697180547031326,-1.0982406698077776,0.9999999999999999,-1.0000000000000284,3.8189861967130114,0.9251081518227069,67,-199.0,-1.0
TTLL10,ENST00000379290.5,1786,1586,1785,16,2022,0.5466314233171176,-0.9343283917821369,0.7463665894583242,-51.21941528725179,4.885173680459649,0.9768513386071208,67,-199.0,-1.0
TNFRSF18,ENST00000328596.10,399,199,398,4,768,0.5188292057365529,-0.3323468595899553,0.7968866584908518,-42.21644161881133,9.549427596838996,0.9769169126703191,67,-200.0,-2.0
TNFRSF4,ENST00000379236.3,769,569,768,7,834,0.7495542031087699,-0.4495262013048774,0.7418281788114971,-52.11802059532357,19.999999999999996,0.9959080132806172,67,-199.0,-1.0
SDF4,ENST00000360001.10,1176,976,1175,7,1089,0.8569309026436894,-0.4488611601247856,0.8435175364884995,-33.51408038474261,19.999999999999822,0.9911882138788015,66,-198.0,-3.0
C1QTNF12,ENST00000330388.2,843,643,842,8,909,0.8646557241430546,4.8435115055728134e-15,0.8631840895575542,-29.67910253627693,17.397654239621286,0.983343007619056,66,-198.0,-3.0
SCNN1D,ENST00000379116.9,2279,2079,2278,18,2409,0.3473397563826424,-0.8492834941822642,0.8760846608814498,-27.1634911281173,11.0925203294547,0.9609524720723769,66,-198.0,-3.0
ACAP3,ENST00000354700.9,2564,2364,2563,24,2505,0.7509676798099603,-0.5644275414601858,0.7353090137258907,-54.40881528227362,18.897440711339268,0.9935269224959979,67,-200.0,-2.0
PUSL1,ENST00000379031.9,940,740,939,8,912,0.7382298006189049,-0.5796110706650486,0.7284364303046367,-54.769586799681946,19.999999999999996,0.9937656631231602,67,-199.0,-1.0
INTS11,ENST00000540437.5,2290,2090,2289,19,1821,0.6401200400362478,-0.5792902249365728,0.8350242164267084,-35.17027779679185,19.999999999999996,0.9649019621122549,66,-198.0,-3.0
TAS1R3,ENST00000339381.5,1633,1433,1632,6,2559,0.3823364983167871,-0.7760575189423855,0.6504815657112594,-70.20464998917063,3.554428749662335,0.9752621895958895,67,-199.0,-1.0
DVL1,ENST00000378891.9,1687,1487,1686,15,2013,0.5109012868828978,-0.591088346678097,0.6298859331550448,-74.28258523530113,11.31722523435823,0.9911434191977012,67,-199.0,-1.0
MXRA8,ENST00000342753.8,1291,1091,1290,9,1026,0.6230548048539822,-0.5894364960631123,0.7713445483998168,-46.27377941683628,16.000762197335618,0.9877073159011441,67,-199.0,-1.0
AURKAIP1,ENST00000338370.7,900,700,899,3,600,0.2928417205787352,-0.3275047954871693,0.796887977297468,-42.606844426993746,16.896386807548833,0.9488001018730015,66,-198.0,-3.0
MRPL20,ENST00000344843.11,373,173,372,4,450,0.9513156718621133,-0.11855741531519307,0.912063029618928,-20.14770922430904,19.999999999998593,0.8882784143460645,66,-198.0,-3.0
ATAD3C,ENST00000378785.6,2085,1885,2084,12,1236,0.6034961014588305,-0.47821120847626636,0.8029480016910171,-41.42513967025167,19.999999999999996,0.9938656425258179,66,-198.0,-3.0
ATAD3B,ENST00000308647.7,1731,1531,1730,16,1947,0.8588834799346957,-0.5064655098808829,0.8079921768516996,-40.44152551391858,19.999999999999996,0.9921275793119283,66,-198.0,-3.0
ATAD3A,ENST00000378756.7,1733,1533,1732,16,1761,0.8904833176533763,-0.4121618592822527,0.8175357558244962,-38.58052761422323,19.999999999999524,0.9914547919276839,66,-198.0,-3.0
