gene_name,transcript_id,exon_idx,exon_length,PC1,PC2
PERM1,ENST00000341290.6,2,1777,-8.296673006210879,1.5215322153145
TAS1R3,ENST00000339381.5,3,783,0.6340684518581929,1.4057295946436474
MXRA8,ENST00000342753.8,4,471,5.643920085544839,1.6799617495933574
PEX10,ENST00000288774.7,3,407,10.748772004536676,-0.1640872815369481
TTC34,ENST00000401095.8,2,844,-0.6012750385583031,-0.5921757411057876
PRDM16,ENST00000511072.5,9,1417,-7.475335160649795,2.001150848319563
LRRC47,ENST00000378251.2,2,462,8.867665747256094,-1.715392917038229
AJAP1,ENST00000378190.7,2,800,-8.12663883489599,1.065713981145613
GPR153,ENST00000377893.2,2,430,-5.3259300602927455,-1.2898696763527515
ESPN,ENST00000636330.1,8,451,-2.027008457342331,-2.3149219320969747
TAS1R1,ENST00000333172.10,3,762,0.8518818874649207,0.5050343926097856
KLHL21,ENST00000377658.8,2,406,6.301436718846937,-1.946347094497777
CAMTA1,ENST00000303635.11,9,1847,-7.055243500321416,2.319006780857736
CAMTA1,ENST00000303635.11,16,524,4.395120854098368,-1.9671535543618468
SLC45A1,ENST00000471889.5,2,421,-3.011764224574224,1.535315353912582
SLC45A1,ENST00000471889.5,5,728,0.7731980439266237,1.7660050055635612
RERE,ENST00000337907.7,17,1379,-9.926702751800162,-0.9520827835266528
RERE,ENST00000337907.7,19,721,-3.484350153771393,-1.379831864998436
CASZ1,ENST00000377022.7,2,489,-14.738351216833657,-3.081394602651621
CASZ1,ENST00000377022.7,3,835,-10.385220837882798,-1.174906084678403
CASZ1,ENST00000377022.7,8,842,-6.965436362700368,-0.5586710035997502
C1orf167,ENST00000433342.5,3,720,-3.8504474301780895,-1.3283953070186345
VPS13D,ENST00000620676.4,18,2214,-6.5107868801863935,-0.1109390910444476
VPS13D,ENST00000620676.4,20,1032,-4.471502541756988,-1.0736423947215372
PLEKHM2,ENST00000375799.7,9,819,1.292255234540323,1.2628244701625906
TMEM82,ENST00000375782.1,4,421,7.176949786595163,0.9200794693591696
SPEN,ENST00000375759.7,3,477,-3.6535078870812314,-1.8215955741205616
SPEN,ENST00000375759.7,11,8176,-10.02118072194361,-2.889773611808502
EPHA2,ENST00000358432.7,3,670,15.282190120513247,2.948463719956759
IGSF21,ENST00000251296.3,6,475,8.237833950091781,0.2964995092887241
TAS1R2,ENST00000375371.3,3,774,6.181523217018554,1.3959631581793224
KIF17,ENST00000375044.5,4,453,5.834443551241784,-0.5506357597261475
KIF17,ENST00000375044.5,7,557,9.718717205239308,0.4544916334931568
LDLRAD2,ENST00000344642.6,2,426,-6.156060111792559,2.5076698359476874
EPHA8,ENST00000374644.8,3,664,0.5673701327827546,5.778295609267621
EPHB2,ENST00000544305.5,3,685,9.053622564474244,4.398254766523392
ELOA,ENST00000418390.6,4,1186,0.6219344357382388,1.9759567289492272
CEP85,ENST00000451429.6,2,695,-2.5169069181110717,1.829473091089164
ZNF683,ENST00000403843.5,3,695,-5.3403046358541655,-0.5801008985725508
ARID1A,ENST00000430799.7,2,453,-5.277453107403141,-0.5857393447940473
ARID1A,ENST00000430799.7,17,892,-7.176834800696293,-0.3799436228604934
SLC9A1,ENST00000263980.7,2,461,7.08719441349308,-0.1367825165235347
THEMIS2,ENST00000328928.11,3,411,11.8455183393846,-0.3690786913291768
THEMIS2,ENST00000328928.11,5,531,7.88190404991917,-2.0388498408223543
MATN1,ENST00000373765.4,5,417,16.918780549614127,-1.2378293296145242
ADGRB2,ENST00000398556.7,2,817,-2.7500966580753032,3.7897030571882815
ADGRB2,ENST00000398556.7,25,620,5.290707496551891,-0.6359881356175913
SYNC,ENST00000409190.7,2,1180,5.002027028512969,2.8805732249579807
PHC2,ENST00000431992.5,6,416,3.164212641282155,-2.283670409953462
ZSCAN20,ENST00000361328.7,5,678,-4.820447270302059,-1.2599994048579868
DLGAP3,ENST00000235180.4,7,485,7.259752781851328,-0.8551336801927563
ZMYM4,ENST00000314607.10,3,522,-3.073443289778934,0.966306996340192
KIAA0319L,ENST00000325722.7,2,524,0.5733047991860939,0.73529367346481
NCDN,ENST00000373253.7,2,969,-0.9970434021411596,3.243375639194368
TFAP2E,ENST00000373235.3,2,483,-4.696254465360141,3.4884325243081875
CLSPN,ENST00000251195.9,3,449,3.6551315194897054,-0.2285858478873091
CLSPN,ENST00000251195.9,8,575,6.27285847884264,-0.4263764251975049
THRAP3,ENST00000354618.9,2,903,-4.48419371830288,1.0599051042620509
THRAP3,ENST00000354618.9,3,705,6.373967388799266,-1.659111413541823
SH3D21,ENST00000453908.7,14,1124,-6.00441818625883,-0.1146818999037786
SLFNL1,ENST00000302946.12,2,522,8.459344325210788,0.6696328884914594
IPO13,ENST00000372343.7,2,737,3.8394143323821246,4.2663259180855
IPP,ENST00000359942.8,2,432,14.143973053333886,-0.8723844737129208
STIL,ENST00000360380.7,11,969,-6.721584888131083,1.5523891450406704
TRABD2B,ENST00000606738.2,2,564,0.437265407597015,3.418074885379213
ZFYVE9,ENST00000287727.7,2,2108,-7.138555054219033,3.561497267881057
ZYG11B,ENST00000545132.5,3,755,5.542579063683494,2.680568496946941
PODN,ENST00000395871.6,4,658,5.191517373168714,2.1489295741709395
PRKAA2,ENST00000371244.8,7,505,7.300884316934724,-2.4189264480835044
C1orf168,ENST00000343433.6,2,748,-5.084143664373316,0.675125541620508
MYSM1,ENST00000472487.5,8,761,3.645598831003546,1.9775705424998369
NFIA,ENST00000371191.5,2,532,2.7005038620422024,4.573810806241879
RAVER2,ENST00000294428.7,3,470,10.116038957832997,1.2349734667957986
SGIP1,ENST00000237247.10,15,501,8.700546851498782,-1.7698717957458805
DEPDC1,ENST00000456315.6,8,852,-4.981313671484731,-1.45745305248428
LRRC7,ENST00000310961.9,20,1681,-5.129304103237752,1.9375240633681667
LRRC53,ENST00000294635.4,2,816,-8.855056498984231,1.1320506423927903
ST6GALNAC3,ENST00000328299.3,3,410,3.6778804194814234,-2.058143016951237
ST6GALNAC5,ENST00000477717.5,3,410,4.538704032366363,-1.4933913448973617
USP33,ENST00000370794.7,9,418,12.24559065560185,-1.813168267035488
ADGRL2,ENST00000370721.5,5,801,1.241000520295653,2.5851287136276686
SYDE2,ENST00000341460.5,2,696,-8.66090964667811,-2.0495879527326126
SYDE2,ENST00000341460.5,3,1103,-3.812258950351619,0.6631027589892945
COL24A1,ENST00000370571.6,3,1370,-2.2070624331747792,3.86466605423038
ZNF644,ENST00000370440.5,2,3038,-9.903595126996684,2.8607601918216274
KIAA1107,ENST00000370378.5,5,718,-4.264860580189977,-1.5501500977325935
RPAP2,ENST00000610020.1,8,931,-3.447972885744984,-0.0032846780226103
GFI1,ENST00000370332.5,3,488,5.387078232429227,0.0905995891193408
BCAR3,ENST00000370247.7,3,443,7.013901879759044,0.9208200874077984
BCAR3,ENST00000370247.7,5,653,4.6807325149237125,-1.5917815599071554
DNTTIP2,ENST00000436063.6,2,1595,3.0201741047674124,4.542020859155579
RWDD3,ENST00000370202.4,2,488,7.490398472940139,-0.6999700487972498
NTNG1,ENST00000370071.6,2,641,1.231725625850089,0.8279034664023159
WDR47,ENST00000400794.7,4,803,-3.451984159722908,2.8475741996970534
CELSR2,ENST00000271332.3,2,648,0.6576083228668756,-0.7484663257233771
PSRC1,ENST00000369904.7,3,442,9.02135961945516,0.7841452132373369
KCNC4,ENST00000469655.5,2,937,-0.9153312223420208,2.8106957057376625
SLC16A4,ENST00000369779.8,5,504,2.36822842960817,-0.4022882642962185
LRIF1,ENST00000369763.4,2,1528,-8.362030266924725,-0.2641274644489056
LRIG2,ENST00000361127.5,15,450,5.870148780480144,-1.2066902956484116
MAGI3,ENST00000369617.8,11,606,12.337365568459548,-1.0341473305002835
RSBN1,ENST00000261441.9,2,674,2.323344913110619,0.5859792522856607
AP4B1,ENST00000369567.5,2,497,1.2793494370290943,5.517702212599884
VANGL1,ENST00000355485.6,3,608,1.9995497153925976,1.9773802814871129
IGSF3,ENST00000369483.5,3,411,-2.372897367343506,-2.2571794208913767
IGSF3,ENST00000369483.5,6,402,0.978340090499354,-2.221616939925143
IGSF3,ENST00000369483.5,7,405,3.4773755386310143,-2.2739644929057024
PTGFRN,ENST00000393203.2,3,414,6.131017117855228,-0.87551712825158
PTGFRN,ENST00000393203.2,5,426,8.970493844975888,-1.7908048646955186
PTGFRN,ENST00000393203.2,6,420,10.35829596668738,-1.2481920523654262
CD101,ENST00000256652.8,3,417,6.41218316329083,-0.2592719585971026
CD101,ENST00000256652.8,7,411,7.468317368931212,-1.999560457801792
TTF2,ENST00000369466.8,5,990,-1.7658452297956075,1.5507706995846309
HMGCS2,ENST00000369406.7,2,455,11.132906147996389,2.910002612722867
NOTCH2,ENST00000256646.6,25,506,-4.635526813030096,-1.7855132474365514
ANKRD35,ENST00000355594.8,10,2004,0.7564705418759963,1.2028944643639137
BCL9,ENST00000234739.7,5,2242,-11.873116779647782,-0.5847384669596002
SF3B4,ENST00000271628.8,3,543,8.635231539613365,1.8562256432581812
ADAMTSL4,ENST00000369039.9,4,697,-9.17249629820398,-1.5803156267157852
